site_weather_collection_time,site_date,site_name,site_location,site_co_ordinate_longitude,site_co_ordinate_latitude,site_id,site_weather_id,site_main_temp,site_main_pressure,site_main_humidity,site_main_temp_min,site_main_temp_max,site_wind_speed,site_wind_deg,site_clouds_all,site_sys_id,site_sys_message,site_sys_sunrise,site_sys_sunset,site_weather_description,site_weather_main,site_weather_icon
1561280363,6/23/2019,ADNOC-AD54,Ab? Z?aby,54,23,292969,803,42.95,1001.29,16,42.95,42.95,2.37,14.938,66,,0.0064,1561253914,1561302812,broken clouds,Clouds,04d
1561283956,6/23/2019,ADNOC-AD54,Ab? Z?aby,54,23,292969,803,42.95,1001.29,16,42.95,42.95,2.37,14.938,66,,0.0073,1561253914,1561302812,broken clouds,Clouds,04d
1560862573,6/18/2019,ADCO-ASAB,Muzayri,55,23,291279,803,47.93,996.05,5,47.93,47.93,9.58,324.482,66,,0.0059,1560821682,1560870442,broken clouds,Clouds,04d
1560858726,6/18/2019,ADCO-ASAB,Muzayri,55,23,291279,803,47.93,996.05,5,47.93,47.93,9.58,324.482,66,,0.0075,1560821682,1560870442,broken clouds,Clouds,04d
1560542374,6/14/2019,ADNOC-AD63,United Arab Emirates,53,24,290557,803,32.9,998.37,68,32.9,32.9,3.89,304.798,66,,0.0048,1560476184,1560525219,broken clouds,Clouds,04n
1560545974,6/15/2019,ADNOC-AD63,United Arab Emirates,53,24,290557,803,32.9,998.37,68,32.9,32.9,3.89,304.798,66,,0.0053,1560562590,1560611637,broken clouds,Clouds,04n
1561359402,6/24/2019,ADMAOPCO-Site11GU233Rig05,Ar Ruways,52,25,292688,803,32.74,1002.51,62,32.74,32.74,6.3,327.319,66,,0.0077,1561340397,1561389681,broken clouds,Clouds,04d
1561359412,6/24/2019,ADMAOPCO-Site15ShwehatRig07,Ar Ruways,52,25,292688,803,32.74,1002.51,62,32.74,32.74,6.3,327.319,66,,0.005,1561340372,1561389682,broken clouds,Clouds,04d
1560506181,6/14/2019,ADMAOPCO-Site01AlGharbhiaRig01,Dubayy,55,25,292224,803,41.69,999,18,39,45,5.7,230,66,7539,0.0052,1560475796,1560525031,broken clouds,Clouds,04d
1560506181,6/14/2019,ADMAOPCO-Site02MUHAIYIMATRig02,Dubayy,55,25,292224,803,41.69,999,18,39,45,5.7,230,66,7539,0.0052,1560475796,1560525031,broken clouds,Clouds,04d
